"Id","Watt","currentTime","core0Usage...","core1Usage...","core2Usage...","core3Usage...","totalCpuUsage...","totalMemory","availableMemory","usedMemory","percentageMemory...","buffersMemory","cachedMemory","totalSwap","freeSwap","usedSwap","percentageSwap...","totalExt4Partition","usedExt4Partition","freeExt4Partition","percentageExt4Partition...","totalBootPartition","usedBootPartition","freeBootPartition","percentageBootPartition...","total_IO_read","total_IO_write","Time","Platform","Algorithm","Size","Workload"
1,4.7,"2021-07-21 19:46:35.796237",28.6,14.3,0,33.3,50,3979698176,3647787008,222384128,8.3,10117120,227979264,104853504,32768,104820736,100,15379681280,13292253184,1410691072,90.4,264289280,30773248,233516032,11.6,208489512448,213390336,0,"EDGE","CNN","8",0.1
2,4.1,"2021-07-21 19:46:36.306049",22.4,9.8,6,18,50,3979698176,3641335808,227016704,8.5,10674176,230756352,104853504,32768,104820736,100,15379681280,13292253184,1410691072,90.4,264289280,30773248,233516032,11.6,208490925568,213390336,0.00849686861038208,"EDGE","CNN","8",0.1
3,4.4,"2021-07-21 19:46:36.816113",3.8,2,2,11.5,0,3979698176,3641671680,226791424,8.5,10682368,233070592,104853504,32768,104820736,100,15379681280,13292253184,1410691072,90.4,264289280,30773248,233516032,11.6,208492703232,213443584,0.0169979333877563,"EDGE","CNN","8",0.1
4,4.5,"2021-07-21 19:46:37.325567",16,34.6,22.4,16,0,3979698176,3637448704,231022592,8.6,10719232,234221568,104853504,32768,104820736,100,15379681280,13292253184,1410691072,90.4,264289280,30773248,233516032,11.6,208494005760,213443584,0.0254888335863749,"EDGE","CNN","8",0.1
5,4.6,"2021-07-21 19:46:37.834972",0,22.4,7.8,3.9,33.3,3979698176,3635019776,233439232,8.7,10752000,235642880,104853504,32768,104820736,100,15379681280,13292253184,1410691072,90.4,264289280,30773248,233516032,11.6,208495414784,213443584,0.0339789152145386,"EDGE","CNN","8",0.1
6,4.7,"2021-07-21 19:46:38.344454",5.9,5.9,10,4,33.3,3979698176,3633471488,234950656,8.7,10899456,237338624,104853504,32768,104820736,100,15379681280,13292253184,1410691072,90.4,264289280,30773248,233516032,11.6,208497081856,213443584,0.0424702843030294,"EDGE","CNN","8",0.1
7,4.6,"2021-07-21 19:46:38.853864",4,6,3.9,14,0,3979698176,3631075328,237170688,8.8,11571200,238043136,104853504,32768,104820736,100,15379681280,13292253184,1410691072,90.4,264289280,30773248,233516032,11.6,208498552320,213443584,0.0509604493776957,"EDGE","CNN","8",0.1
8,4.5,"2021-07-21 19:46:39.363842",4.1,14.3,0,36.5,50,3979698176,3626078208,242585600,8.9,12337152,242716672,104853504,32768,104820736,100,15379681280,13292253184,1410691072,90.4,264289280,30773248,233516032,11.6,208504311296,213443584,0.0594600836435954,"EDGE","CNN","8",0.1
9,4.3,"2021-07-21 19:46:39.878361",7.7,5.8,51,25,50,3979698176,3617361920,251314176,9.1,12595200,247148544,104853504,32768,104820736,100,15379681280,13292253184,1410691072,90.4,264289280,30773248,233516032,11.6,208509140480,213443584,0.0680353999137878,"EDGE","CNN","8",0.1
10,3.9,"2021-07-21 19:46:40.398888",23.5,46.2,13.2,4,66.7,3979698176,3608653824,259985408,9.3,12976128,251514880,104853504,32768,104820736,100,15379681280,13292249088,1410695168,90.4,264289280,30773248,233516032,11.6,208513781248,213443584,0.076710851987203,"EDGE","CNN","8",0.1
11,3.7,"2021-07-21 19:46:40.911701",25.5,9.8,11.5,58.8,100,3979698176,3600642048,267870208,9.5,13004800,254181376,104853504,32768,104820736,100,15379681280,13292249088,1410695168,90.4,264289280,30773248,233516032,11.6,208516546048,213443584,0.0852577328681946,"EDGE","CNN","8",0.1
12,3.7,"2021-07-21 19:46:41.426359",7.8,7.7,57.1,25,50,3979698176,3594375168,274018304,9.7,13619200,257224704,104853504,32768,104820736,100,15379681280,13292249088,1410695168,90.4,264289280,30773248,233516032,11.6,208520121856,213443584,0.0938353657722473,"EDGE","CNN","8",0.1
13,3.7,"2021-07-21 19:46:41.936603",6,14,11.8,4,0,3979698176,3591499776,277065728,9.8,14000128,274698240,104853504,32768,104820736,100,15379681280,13292249088,1410695168,90.4,264289280,30773248,233516032,11.6,208537800192,213443584,0.102339434623718,"EDGE","CNN","8",0.1
14,3.4,"2021-07-21 19:46:42.447894",24,0,7.8,5.9,50,3979698176,3591458816,276533248,9.8,14008320,291737600,104853504,32768,104820736,100,15379681280,13292249088,1410695168,90.4,264289280,30773248,233516032,11.6,208554409472,213468160,0.110860951741536,"EDGE","CNN","8",0.1
15,NA,"2021-07-21 19:46:42.958091",13.2,3.9,2,47.2,0,3979698176,3585220608,281710592,9.9,14008320,306671616,104853504,32768,104820736,100,15379681280,13292249088,1410695168,90.4,264289280,30773248,233516032,11.6,208568294912,213468160,0.119364233811696,"EDGE","CNN","8",0.1
16,NA,"2021-07-21 19:46:43.469015",6.1,58.8,2,7.7,50,3979698176,3574669312,292352000,10.2,14450688,314957824,104853504,32768,104820736,100,15379681280,13292249088,1410695168,90.4,264289280,30773248,233516032,11.6,208577052160,213468160,0.127879631519318,"EDGE","CNN","8",0.1
17,NA,"2021-07-21 19:46:43.979594",13.7,4,28,4.1,50,3979698176,3570315264,296738816,10.3,14655488,326639616,104853504,32768,104820736,100,15379681280,13292253184,1410691072,90.4,264289280,30773248,233516032,11.6,208588992000,213468160,0.136389283339183,"EDGE","CNN","8",0.1
18,NA,"2021-07-21 19:46:44.489951",37,6,4,13.5,50,3979698176,3564445696,302522368,10.4,14704640,338337792,104853504,32768,104820736,100,15379681280,13292253184,1410691072,90.4,264289280,30773248,233516032,11.6,208600657408,213468160,0.144895231723785,"EDGE","CNN","8",0.1
19,NA,"2021-07-21 19:46:44.999861",10,6,0,78,33.3,3979698176,3557859328,309661696,10.6,14737408,341987328,104853504,32768,104820736,100,15379681280,13292253184,1410691072,90.4,264289280,30773248,233516032,11.6,208604708352,213468160,0.153393733501434,"EDGE","CNN","8",0.1
20,NA,"2021-07-21 19:46:45.516930",15.4,5.8,33.3,5.7,50,3979698176,3554041856,313475072,10.7,14966784,354476032,104853504,32768,104820736,100,15379681280,13292253184,1410691072,90.4,264289280,30773248,233516032,11.6,208617819648,213468160,0.162011551856995,"EDGE","CNN","8",0.1
21,NA,"2021-07-21 19:46:46.028360",54,7.7,9.6,5.9,0,3979698176,3551277056,317300736,10.8,14974976,363028480,104853504,32768,104820736,100,15379681280,13292253184,1410691072,90.4,264289280,30773248,233516032,11.6,208627305984,213468160,0.17053538163503,"EDGE","CNN","8",0.1
22,NA,"2021-07-21 19:46:46.538354",37.3,4,26,7.8,33.3,3979698176,3545677824,322703360,10.9,15216640,369770496,104853504,32768,104820736,100,15379681280,13292253184,1410691072,90.4,264289280,30773248,233516032,11.6,208634211840,213468160,0.17903528213501,"EDGE","CNN","8",0.1
23,NA,"2021-07-21 19:46:47.048781",62.7,3.9,6,4.1,0,3979698176,3539513344,328871936,11.1,15388672,375541760,104853504,32768,104820736,100,15379681280,13292253184,1410691072,90.4,264289280,30773248,233516032,11.6,208640220672,213468160,0.18754239877065,"EDGE","CNN","8",0.1
24,NA,"2021-07-21 19:46:47.559304",69.4,6,6,7.8,50,3979698176,3535654912,332947456,11.2,15454208,380837888,104853504,32768,104820736,100,15379681280,13292253184,1410691072,90.4,264289280,30773248,233516032,11.6,208645463552,213468160,0.196051116784414,"EDGE","CNN","8",0.1
25,NA,"2021-07-21 19:46:48.069681",12,3.9,3.9,52,50,3979698176,3529990144,338567168,11.3,15839232,387993600,104853504,32768,104820736,100,15379681280,13292253184,1410691072,90.4,264289280,30773248,233516032,11.6,208653147648,213480448,0.204557398955027,"EDGE","CNN","8",0.1
26,NA,"2021-07-21 19:46:48.580545",6,5.8,62,7.8,50,3979698176,3523940352,344641536,11.5,16494592,390295552,104853504,32768,104820736,100,15379681280,13292261376,1410682880,90.4,264289280,30773248,233516032,11.6,208655883776,213480448,0.213071799278259,"EDGE","CNN","8",0.1
27,NA,"2021-07-21 19:46:49.091235",4,4,2,32.7,100,3979698176,3520421888,348012544,11.5,16527360,391520256,104853504,32768,104820736,100,15379681280,13292261376,1410682880,90.4,264289280,30773248,233516032,11.6,208657075712,213480448,0.221583298842112,"EDGE","CNN","8",0.1
28,NA,"2021-07-21 19:46:49.601201",0,6,19.6,7.8,33.3,3979698176,3518545920,350003200,11.6,16834560,392593408,104853504,32768,104820736,100,15379681280,13292261376,1410682880,90.4,264289280,30773248,233516032,11.6,208658390528,213480448,0.230082734425863,"EDGE","CNN","8",0.1
29,NA,"2021-07-21 19:46:50.111370",2,12,6,4,33.3,3979698176,3517341696,351203328,11.6,16859136,394207232,104853504,32768,104820736,100,15379681280,13292261376,1410682880,90.4,264289280,30773248,233516032,11.6,208660090368,213480448,0.238585551579793,"EDGE","CNN","8",0.1
30,NA,"2021-07-21 19:46:50.620818",3.8,5.9,7.8,3.9,0,3979698176,3517091840,351436800,11.6,16859136,396296192,104853504,32768,104820736,100,15379681280,13292261376,1410682880,90.4,264289280,30773248,233516032,11.6,208662089216,213480448,0.247076348463694,"EDGE","CNN","8",0.1
31,NA,"2021-07-21 19:46:51.142515",2,6,9.6,7.7,50,3979698176,3516481536,352043008,11.6,16859136,398270464,104853504,32768,104820736,100,15379681280,13292261376,1410682880,90.4,264289280,30773248,233516032,11.6,208664161792,213480448,0.255771299203237,"EDGE","CNN","8",0.1
32,NA,"2021-07-21 19:46:51.652825",25.5,9.4,11.5,5.9,50,3979698176,3513442304,354594816,11.7,16891904,400072704,104853504,32768,104820736,100,15379681280,13292261376,1410682880,90.4,264289280,30773248,233516032,11.6,208665431552,213480448,0.264276468753815,"EDGE","CNN","8",0.1
33,NA,"2021-07-21 19:46:52.162544",16,6,6,5.8,100,3979698176,3511627776,356417536,11.8,16908288,401588224,104853504,32768,104820736,100,15379681280,13292261376,1410682880,90.4,264289280,30773248,233516032,11.6,208666832384,213480448,0.27277178366979,"EDGE","CNN","8",0.1
34,NA,"2021-07-21 19:46:52.673734",3.9,4,31.4,3.9,0,3979698176,3508928512,359116800,11.8,16916480,405848064,104853504,32768,104820736,100,15379681280,13292261376,1410682880,90.4,264289280,30773248,233516032,11.6,208671415808,213480448,0.281291615962982,"EDGE","CNN","8",0.1
1,4.6,"2021-07-21 19:05:34.136803",0,66.7,0,75,33.3,3979698176,3636699136,233467904,8.6,8945664,226127872,104853504,53248,104800256,99.9,15379681280,13282648064,1420296192,90.3,264289280,30773248,233516032,11.6,141720976896,202028032,0,"EDGE","CNN","8",0.25
2,4.1,"2021-07-21 19:05:34.647104",55.1,6,3.9,10.4,0,3979698176,3627794432,240885760,8.8,10084352,235892736,104853504,53248,104800256,99.9,15379681280,13282648064,1420296192,90.3,264289280,30773248,233516032,11.6,141729955328,202028032,0.00850501855214437,"EDGE","CNN","8",0.25
3,4.2,"2021-07-21 19:05:35.157027",6,62,2,11.3,0,3979698176,3619979264,248684544,9,10772480,240824320,104853504,53248,104800256,99.9,15379681280,13282648064,1420296192,90.3,264289280,30773248,233516032,11.6,141735427584,202028032,0.0170037349065145,"EDGE","CNN","8",0.25
4,4.2,"2021-07-21 19:05:35.667413",9.8,71.4,4,4.1,50,3979698176,3610955776,257695744,9.3,11309056,243662848,104853504,53248,104800256,99.9,15379681280,13282648064,1420296192,90.3,264289280,30773248,233516032,11.6,141738913280,202028032,0.0255101680755615,"EDGE","CNN","8",0.25
5,4.1,"2021-07-21 19:05:36.177709",12,5.8,72.9,1.9,0,3979698176,3602227200,266547200,9.5,11329536,247951360,104853504,53248,104800256,99.9,15379681280,13282648064,1420296192,90.3,264289280,30773248,233516032,11.6,141743189504,202028032,0.0340151031812032,"EDGE","CNN","8",0.25
6,4.2,"2021-07-21 19:05:36.688870",11.8,5.9,81.1,2,50,3979698176,3596087296,272515072,9.6,11546624,250540032,104853504,53248,104800256,99.9,15379681280,13282648064,1420296192,90.3,264289280,30773248,233516032,11.6,141745888768,202028032,0.0425344506899516,"EDGE","CNN","8",0.25
7,4.1,"2021-07-21 19:05:37.198822",9.6,9.8,25.5,2,50,3979698176,3592331264,276406272,9.7,12349440,265973760,104853504,53248,104800256,99.9,15379681280,13282648064,1420296192,90.3,264289280,30773248,233516032,11.6,141762231808,202028032,0.0510336518287659,"EDGE","CNN","8",0.25
8,3.8,"2021-07-21 19:05:37.708659",12,3.9,11.3,22.2,50,3979698176,3591815168,276897792,9.7,12349440,283803648,104853504,53248,104800256,99.9,15379681280,13282648064,1420296192,90.3,264289280,30773248,233516032,11.6,141780057600,202028032,0.0595309336980184,"EDGE","CNN","8",0.25
9,4,"2021-07-21 19:05:38.218541",7.8,44,6,2,0,3979698176,3588030464,280735744,9.8,12349440,298287104,104853504,53248,104800256,99.9,15379681280,13282639872,1420304384,90.3,264289280,30773248,233516032,11.6,141794549248,202028032,0.0680289665857951,"EDGE","CNN","8",0.25
10,4.1,"2021-07-21 19:05:38.734955",17,17.6,2,7.8,50,3979698176,3580600320,287576064,10,12783616,307785728,104853504,53248,104800256,99.9,15379681280,13282639872,1420304384,90.3,264289280,30773248,233516032,11.6,141803900416,202028032,0.0766358693440755,"EDGE","CNN","8",0.25
11,3.7,"2021-07-21 19:05:39.245540",49,10,5.9,5.9,50,3979698176,3575009280,293122048,10.2,12947456,308527104,104853504,53248,104800256,99.9,15379681280,13282639872,1420304384,90.3,264289280,30773248,233516032,11.6,141804613120,202028032,0.0851456165313721,"EDGE","CNN","8",0.25
12,3.7,"2021-07-21 19:05:39.754829",4.1,7.8,7.7,0,0,3979698176,3573555200,294604800,10.2,12955648,310390784,104853504,53248,104800256,99.9,15379681280,13282639872,1420304384,90.3,264289280,30773248,233516032,11.6,141806562816,202064896,0.093633766969045,"EDGE","CNN","8",0.25
13,3.8,"2021-07-21 19:05:40.264103",9.6,2,3.9,0,0,3979698176,3573481472,294723584,10.2,12955648,312336384,104853504,53248,104800256,99.9,15379681280,13282639872,1420304384,90.3,264289280,30773248,233516032,11.6,141808487936,202064896,0.10212166706721,"EDGE","CNN","8",0.25
14,NA,"2021-07-21 19:05:40.773387",4.1,7.8,3.9,0,33.3,3979698176,3573448704,294764544,10.2,12955648,314376192,104853504,53248,104800256,99.9,15379681280,13282639872,1420304384,90.3,264289280,30773248,233516032,11.6,141810572800,202064896,0.11060973405838,"EDGE","CNN","8",0.25
15,NA,"2021-07-21 19:05:41.282818",5.8,3.9,6.1,1.9,50,3979698176,3573108736,295096320,10.2,12963840,316375040,104853504,53248,104800256,99.9,15379681280,13282639872,1420304384,90.3,264289280,30773248,233516032,11.6,141812588032,202064896,0.119100252787272,"EDGE","CNN","8",0.25
16,NA,"2021-07-21 19:05:41.792104",4.1,5.9,5.8,2,0,3979698176,3572396032,295284736,10.2,12963840,318717952,104853504,53248,104800256,99.9,15379681280,13282648064,1420296192,90.3,264289280,30773248,233516032,11.6,141814332928,202064896,0.127588351567586,"EDGE","CNN","8",0.25
17,NA,"2021-07-21 19:05:42.301864",7.7,4,8.3,12,0,3979698176,3570348032,297271296,10.3,13021184,323108864,104853504,53248,104800256,99.9,15379681280,13282652160,1420292096,90.3,264289280,30773248,233516032,11.6,141818854912,202064896,0.136084349950155,"EDGE","CNN","8",0.25
18,NA,"2021-07-21 19:05:42.811945",7.8,37.3,18,7.8,0,3979698176,3563528192,304078848,10.5,13053952,332042240,104853504,53248,104800256,99.9,15379681280,13282652160,1420292096,90.3,264289280,30773248,233516032,11.6,141827898880,202064896,0.144585700829824,"EDGE","CNN","8",0.25
19,NA,"2021-07-21 19:05:43.329436",5.9,5.8,64.6,11.8,25,3979698176,3558260736,309403648,10.6,13230080,338411520,104853504,53248,104800256,99.9,15379681280,13282652160,1420292096,90.3,264289280,30773248,233516032,11.6,141834485248,202064896,0.153210552533468,"EDGE","CNN","8",0.25
20,NA,"2021-07-21 19:05:43.839804",19.6,9.6,3.8,13.7,0,3979698176,3554230272,313102336,10.7,13316096,351399936,104853504,53248,104800256,99.9,15379681280,13282652160,1420292096,90.3,264289280,30773248,233516032,11.6,141847711232,202064896,0.161716683705648,"EDGE","CNN","8",0.25
21,NA,"2021-07-21 19:05:44.349668",58,4,8,4.1,0,3979698176,3550466048,317710336,10.8,13324288,359944192,104853504,53248,104800256,99.9,15379681280,13282652160,1420292096,90.3,264289280,30773248,233516032,11.6,141856476672,202064896,0.170214418570201,"EDGE","CNN","8",0.25
22,NA,"2021-07-21 19:05:44.859840",6,6,54,3.9,50,3979698176,3545292800,322760704,10.9,13598720,366489600,104853504,53248,104800256,99.9,15379681280,13282652160,1420292096,90.3,264289280,30773248,233516032,11.6,141863349760,202064896,0.178717283407847,"EDGE","CNN","8",0.25
23,NA,"2021-07-21 19:05:45.370183",62.5,11.3,3.9,2,50,3979698176,3538759680,329256960,11.1,13762560,370409472,104853504,53248,104800256,99.9,15379681280,13282652160,1420292096,90.3,264289280,30773248,233516032,11.6,141867408896,202081280,0.187223001321157,"EDGE","CNN","8",0.25
24,NA,"2021-07-21 19:05:45.880452",9.8,7.8,59.6,7.7,33.3,3979698176,3534282752,333877248,11.2,13811712,377700352,104853504,53248,104800256,99.9,15379681280,13282652160,1420292096,90.3,264289280,30773248,233516032,11.6,141874798080,202081280,0.195727483431498,"EDGE","CNN","8",0.25
25,NA,"2021-07-21 19:05:46.390671",10,3.9,56,3.9,66.7,3979698176,3529134080,339001344,11.3,14192640,382685184,104853504,53248,104800256,99.9,15379681280,13282652160,1420292096,90.3,264289280,30773248,233516032,11.6,141880040960,202118144,0.204231135050456,"EDGE","CNN","8",0.25
26,NA,"2021-07-21 19:05:46.901233",13.7,3.9,72.3,2,0,3979698176,3521507328,346644480,11.5,14864384,384966656,104853504,53248,104800256,99.9,15379681280,13282652160,1420292096,90.3,264289280,30773248,233516032,11.6,141883063808,202118144,0.212740500768026,"EDGE","CNN","8",0.25
27,NA,"2021-07-21 19:05:47.411776",6.1,16,40.8,3.9,50,3979698176,3515813888,352321536,11.7,15220736,392593408,104853504,53248,104800256,99.9,15379681280,13282652160,1420292096,90.3,264289280,30773248,233516032,11.6,141891010048,202118144,0.2212495525678,"EDGE","CNN","8",0.25
28,NA,"2021-07-21 19:05:47.922167",10,3.9,9.8,56.3,50,3979698176,3508924416,358031360,11.8,15269888,400510976,104853504,53248,104800256,99.9,15379681280,13282652160,1420292096,90.3,264289280,30773248,233516032,11.6,141897862656,202118144,0.22975606918335,"EDGE","CNN","8",0.25
29,NA,"2021-07-21 19:05:48.432809",5.9,4,9.8,69.8,100,3979698176,3504803840,362295296,11.9,15351808,405712896,104853504,53248,104800256,99.9,15379681280,13282652160,1420292096,90.3,264289280,30773248,233516032,11.6,141903146496,202118144,0.238266770044963,"EDGE","CNN","8",0.25
30,NA,"2021-07-21 19:05:48.943233",8.2,7.8,4,31.2,33.3,3979698176,3502546944,364404736,12,15974400,414060544,104853504,53248,104800256,99.9,15379681280,13282652160,1420292096,90.3,264289280,30773248,233516032,11.6,141912141312,202118144,0.246773835023244,"EDGE","CNN","8",0.25
31,NA,"2021-07-21 19:05:49.455368",4,13.5,24.1,40,75,3979698176,3498573824,368435200,12.1,16822272,415133696,104853504,53248,104800256,99.9,15379681280,13282652160,1420292096,90.3,264289280,30773248,233516032,11.6,141914217984,202118144,0.255309418837229,"EDGE","CNN","8",0.25
32,NA,"2021-07-21 19:05:49.965226",51.9,54,58,52.9,50,3979698176,3495911424,371126272,12.2,17666048,419082240,104853504,53248,104800256,99.9,15379681280,13282652160,1420292096,90.3,264289280,30773248,233516032,11.6,141918846464,202118144,0.263807050387065,"EDGE","CNN","8",0.25
33,NA,"2021-07-21 19:05:50.475417",22,51,3.9,5.9,66.7,3979698176,3489914880,376168448,12.3,18313216,421175296,104853504,53248,104800256,99.9,15379681280,13282652160,1420292096,90.3,264289280,30773248,233516032,11.6,141920464384,202118144,0.27231023311615,"EDGE","CNN","8",0.25
34,NA,"2021-07-21 19:05:50.989470",11.5,9.8,9.6,31.4,0,3979698176,3489320960,377483264,12.3,19558400,421335040,104853504,53248,104800256,99.9,15379681280,13282652160,1420292096,90.3,264289280,30773248,233516032,11.6,141922373120,202155008,0.28087778488795,"EDGE","CNN","8",0.25
1,5.2,"2021-07-21 18:55:41.788246",35.3,20,0,12.5,50,3979698176,3636826112,223178752,8.6,16084992,270082048,104853504,2576384,102277120,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125028482560,195363840,0,"EDGE","CNN","8",0.5
2,4,"2021-07-21 18:55:42.298576",10.2,13.7,2,8,50,3979698176,3634405376,223346688,8.7,16084992,272494592,104853504,2617344,102236160,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125028511232,195363840,0.00850550333658854,"EDGE","CNN","8",0.5
3,4.3,"2021-07-21 18:55:42.808236",11.8,5.9,13.5,28,0,3979698176,3628314624,228507648,8.8,16642048,274001920,104853504,2625536,102227968,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125029613056,195363840,0.0169998327891032,"EDGE","CNN","8",0.5
4,4.4,"2021-07-21 18:55:43.318343",2,3.9,7.8,7.7,100,3979698176,3634688000,229412864,8.7,16642048,268709888,104853504,2625536,102227968,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125031742976,195363840,0.0255016167958577,"EDGE","CNN","8",0.5
5,4.5,"2021-07-21 18:55:43.838425",18.5,13.5,17.3,36.5,66.7,3979698176,3630632960,233619456,8.8,16666624,269897728,104853504,2625536,102227968,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125032996352,195363840,0.0341696500778198,"EDGE","CNN","8",0.5
6,4.5,"2021-07-21 18:55:44.352249",0,7.7,9.8,23.5,0,3979698176,3629125632,236687360,8.8,16707584,269627392,104853504,2625536,102227968,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125034483200,195363840,0.0427333831787109,"EDGE","CNN","8",0.5
7,4.3,"2021-07-21 18:55:44.861638",3.8,5.9,7.8,6.3,0,3979698176,3629789184,238784512,8.8,16846848,268423168,104853504,2625536,102227968,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125036047872,195363840,0.0512232025464376,"EDGE","CNN","8",0.5
8,3.6,"2021-07-21 18:55:45.377400",4,4,7.7,30.2,50,3979698176,3627462656,240906240,8.9,17526784,269492224,104853504,2625536,102227968,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125037669888,195363840,0.059819233417511,"EDGE","CNN","8",0.5
9,3.6,"2021-07-21 18:55:45.894237",5.9,3.9,8,14,50,3979698176,3626209280,242343936,8.9,17543168,271118336,104853504,2625536,102227968,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125039529472,195363840,0.0684331854184469,"EDGE","CNN","8",0.5
10,NA,"2021-07-21 18:55:46.404155",2,5.9,11.8,15.4,33.3,3979698176,3624714240,243789824,8.9,17559552,273027072,104853504,2625536,102227968,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125041212928,195363840,0.0769318183263143,"EDGE","CNN","8",0.5
11,NA,"2021-07-21 18:55:46.913647",3.9,2,11.5,8,0,3979698176,3623448576,244924416,9,18264064,273829888,104853504,2625536,102227968,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125042769408,195363840,0.0854233503341675,"EDGE","CNN","8",0.5
12,NA,"2021-07-21 18:55:47.424943",0,4,11.8,44,0,3979698176,3616796672,251715584,9.1,18378752,277442560,104853504,2625536,102227968,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125046644224,195392512,0.0939449508984884,"EDGE","CNN","8",0.5
13,NA,"2021-07-21 18:55:47.936005",38.5,7.8,40,6,50,3979698176,3609251840,259072000,9.3,18632704,280653824,104853504,2625536,102227968,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125050052096,195392512,0.102462653319041,"EDGE","CNN","8",0.5
14,NA,"2021-07-21 18:55:48.448737",63.5,11.5,2,14,0,3979698176,3599892480,268558336,9.5,18948096,285061120,104853504,2625536,102227968,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125054778880,195392512,0.111008183161418,"EDGE","CNN","8",0.5
15,NA,"2021-07-21 18:55:48.959500",2,43.1,46.2,6,50,3979698176,3592876032,275079168,9.7,19140608,287879168,104853504,2625536,102227968,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125057375744,195392512,0.119520902633667,"EDGE","CNN","8",0.5
16,NA,"2021-07-21 18:55:49.470281",10,9.8,30.6,5.7,33.3,3979698176,3588931584,278986752,9.8,19804160,300871680,104853504,2625536,102227968,97.5,15379681280,13281820672,1421123584,90.3,264289280,30773248,233516032,11.6,125071015424,195392512,0.128033916155497,"EDGE","CNN","8",0.5
