currentTime,core0Usage(%),core1Usage(%),core2Usage(%),core3Usage(%),totalCpuUsage(%),totalMemory,availableMemory,usedMemory,percentageMemory(%),buffersMemory,cachedMemory,totalSwap,freeSwap,usedSwap,percentageSwap(%),totalExt4Partition,usedExt4Partition,freeExt4Partition,percentageExt4Partition(%),totalBootPartition,usedBootPartition,freeBootPartition,percentageBootPartition(%),total_IO_read,total_IO_write
2021-06-21 13:32:05.328689,33.3,33.3,0.0,100.0,50.0,3979698176,3475185664,382410752,12.7,105947136,1949491200,104853504,104853504,0,0.0,15379681280,12371595264,2331348992,84.1,264289280,30773248,233516032,11.6,1850767872,244233216
2021-06-21 13:33:05.396884,2.0,21.1,3.3,3.0,25.0,3979698176,3274457088,586326016,17.7,105967616,1946308608,104853504,104853504,0,0.0,15379681280,12371599360,2331344896,84.1,264289280,30773248,233516032,11.6,1850767872,244663296
2021-06-21 13:34:05.478808,1.0,2.7,2.5,1.5,60.0,3979698176,3274465280,586317824,17.7,105975808,1946308608,104853504,104853504,0,0.0,15379681280,12371599360,2331344896,84.1,264289280,30773248,233516032,11.6,1850767872,244720640
2021-06-21 13:35:05.557333,0.8,2.3,2.7,1.8,50.0,3979698176,3274207232,586559488,17.7,105992192,1946308608,104853504,104853504,0,0.0,15379681280,12371599360,2331344896,84.1,264289280,30773248,233516032,11.6,1850767872,244761600
2021-06-21 13:36:05.626228,1.0,2.4,2.4,1.8,50.0,3979698176,3274747904,586031104,17.7,106004480,1946308608,104853504,104853504,0,0.0,15379681280,12371599360,2331344896,84.1,264289280,30773248,233516032,11.6,1850767872,244802560
2021-06-21 13:37:05.654695,0.7,2.4,2.6,1.7,60.0,3979698176,3274756096,586027008,17.7,106008576,1946308608,104853504,104853504,0,0.0,15379681280,12371599360,2331344896,84.1,264289280,30773248,233516032,11.6,1850767872,244851712
2021-06-21 13:38:05.726800,0.9,2.4,2.4,1.5,60.0,3979698176,3274764288,586018816,17.7,106016768,1946308608,104853504,104853504,0,0.0,15379681280,12371599360,2331344896,84.1,264289280,30773248,233516032,11.6,1850767872,244896768
2021-06-21 13:39:05.809147,0.7,2.5,2.5,1.7,40.0,3979698176,3274772480,586010624,17.7,106024960,1946308608,104853504,104853504,0,0.0,15379681280,12371599360,2331344896,84.1,264289280,30773248,233516032,11.6,1850767872,244937728
2021-06-21 13:40:05.835828,0.8,2.4,2.6,1.8,25.0,3979698176,3273998336,586776576,17.7,106033152,1946308608,104853504,104853504,0,0.0,15379681280,12371599360,2331344896,84.1,264289280,30773248,233516032,11.6,1850767872,244978688
2021-06-21 13:41:05.915652,1.2,2.5,2.6,1.2,50.0,3979698176,3274010624,586768384,17.7,106041344,1946308608,104853504,104853504,0,0.0,15379681280,12371599360,2331344896,84.1,264289280,30773248,233516032,11.6,1850767872,245019648
2021-06-21 13:42:05.997610,0.9,2.6,2.4,1.4,50.0,3979698176,3274539008,586244096,17.7,106049536,1946308608,104853504,104853504,0,0.0,15379681280,12371599360,2331344896,84.1,264289280,30773248,233516032,11.6,1850767872,245060608
2021-06-21 13:43:06.076951,0.9,2.1,2.8,1.7,50.0,3979698176,3274547200,586235904,17.7,106057728,1946308608,104853504,104853504,0,0.0,15379681280,12371599360,2331344896,84.1,264289280,30773248,233516032,11.6,1850767872,245101568
2021-06-21 13:44:06.158790,0.8,2.5,1.8,2.1,40.0,3979698176,3273777152,587001856,17.7,106065920,1946308608,104853504,104853504,0,0.0,15379681280,12371591168,2331353088,84.1,264289280,30773248,233516032,11.6,1850767872,245142528
2021-06-21 13:45:06.237385,0.5,2.6,2.5,1.9,33.3,3979698176,3274235904,586543104,17.7,106074112,1946243072,104853504,104853504,0,0.0,15379681280,12371591168,2331353088,84.1,264289280,30773248,233516032,11.6,1850767872,245208064
2021-06-21 13:46:06.316074,1.0,2.2,2.3,1.7,50.0,3979698176,3273719808,587051008,17.7,106082304,1946243072,104853504,104853504,0,0.0,15379681280,12371591168,2331353088,84.1,264289280,30773248,233516032,11.6,1850767872,245249024
2021-06-21 13:47:06.394680,1.1,2.7,2.2,2.0,60.0,3979698176,3274772480,586010624,17.7,106090496,1946243072,104853504,104853504,0,0.0,15379681280,12371591168,2331353088,84.1,264289280,30773248,233516032,11.6,1850767872,245289984
2021-06-21 13:48:06.414525,0.5,2.9,2.9,1.3,50.0,3979698176,3274522624,586260480,17.7,106098688,1946243072,104853504,104853504,0,0.0,15379681280,12371591168,2331353088,84.1,264289280,30773248,233516032,11.6,1850767872,245330944
2021-06-21 13:49:06.495991,0.8,2.6,2.3,1.6,33.3,3979698176,3274268672,586506240,17.7,106106880,1946247168,104853504,104853504,0,0.0,15379681280,12371595264,2331348992,84.1,264289280,30773248,233516032,11.6,1850767872,245396480
2021-06-21 13:50:06.577593,0.9,2.1,2.3,2.1,40.0,3979698176,3269890048,586706944,17.8,106106880,1950433280,104853504,104853504,0,0.0,15379681280,12371595264,2331348992,84.1,264289280,30773248,233516032,11.6,1850767872,245445632
2021-06-21 13:51:06.656089,0.9,2.2,1.9,2.1,50.0,3979698176,3274792960,585990144,17.7,106106880,1946247168,104853504,104853504,0,0.0,15379681280,12371595264,2331348992,84.1,264289280,30773248,233516032,11.6,1850767872,245486592
2021-06-21 13:52:06.726083,1.7,2.0,3.1,2.0,50.0,3979698176,3274792960,585986048,17.7,106106880,1946251264,104853504,104853504,0,0.0,15379681280,12371595264,2331348992,84.1,264289280,30773248,233516032,11.6,1850767872,245527552
2021-06-21 13:53:06.804808,0.8,2.7,2.4,1.7,33.3,3979698176,3274792960,585990144,17.7,106106880,1946247168,104853504,104853504,0,0.0,15379681280,12371595264,2331348992,84.1,264289280,30773248,233516032,11.6,1850767872,245568512
2021-06-21 13:54:06.886303,0.9,2.2,2.2,2.4,40.0,3979698176,3274792960,585990144,17.7,106106880,1946247168,104853504,104853504,0,0.0,15379681280,12371595264,2331348992,84.1,264289280,30773248,233516032,11.6,1850767872,245609472
2021-06-21 13:55:06.926503,1.0,2.5,2.4,1.5,40.0,3979698176,3274792960,585990144,17.7,106106880,1946247168,104853504,104853504,0,0.0,15379681280,12371595264,2331348992,84.1,264289280,30773248,233516032,11.6,1850767872,245666816
2021-06-21 13:56:07.008579,0.8,3.1,1.8,1.7,50.0,3979698176,3274280960,586502144,17.7,106110976,1946247168,104853504,104853504,0,0.0,15379681280,12371595264,2331348992,84.1,264289280,30773248,233516032,11.6,1850767872,245707776
2021-06-21 13:57:07.091483,1.0,1.9,1.9,2.4,50.0,3979698176,3274543104,586235904,17.7,106119168,1946247168,104853504,104853504,0,0.0,15379681280,12371595264,2331348992,84.1,264289280,30773248,233516032,11.6,1850767872,245748736
2021-06-21 13:58:07.171307,1.2,2.5,2.2,1.7,50.0,3979698176,3274555392,586227712,17.7,106127360,1946247168,104853504,104853504,0,0.0,15379681280,12371595264,2331348992,84.1,264289280,30773248,233516032,11.6,1850767872,245789696
2021-06-21 13:59:07.208765,1.0,2.5,2.5,1.4,0.0,3979698176,3274821632,585961472,17.7,106135552,1946247168,104853504,104853504,0,0.0,15379681280,12371595264,2331348992,84.1,264289280,30773248,233516032,11.6,1850767872,245830656
2021-06-21 14:00:07.291406,0.9,2.3,2.7,1.2,50.0,3979698176,3274305536,586469376,17.7,106143744,1946247168,104853504,104853504,0,0.0,15379681280,12371595264,2331348992,84.1,264289280,30773248,233516032,11.6,1850767872,245871616
2021-06-21 14:01:07.315288,1.1,2.3,2.6,1.3,50.0,3979698176,3274321920,586461184,17.7,106151936,1946247168,104853504,104853504,0,0.0,15379681280,12371595264,2331348992,84.1,264289280,30773248,233516032,11.6,1850767872,245912576
2021-06-21 14:02:07.397320,1.0,2.1,2.3,1.9,60.0,3979698176,3273625600,587157504,17.7,106164224,1946247168,104853504,104853504,0,0.0,15379681280,12371595264,2331348992,84.1,264289280,30773248,233516032,11.6,1850767872,245953536
2021-06-21 14:03:07.451636,0.7,2.5,2.0,2.0,66.7,3979698176,3273629696,587145216,17.7,106176512,1946247168,104853504,104853504,0,0.0,15379681280,12371595264,2331348992,84.1,264289280,30773248,233516032,11.6,1850767872,245994496
2021-06-21 14:04:07.530046,0.5,3.2,2.2,1.7,50.0,3979698176,3273904128,586870784,17.7,106192896,1946247168,104853504,104853504,0,0.0,15379681280,12371595264,2331348992,84.1,264289280,30773248,233516032,11.6,1850767872,246035456
2021-06-21 14:05:07.608693,1.2,2.0,2.5,1.4,50.0,3979698176,3274436608,586338304,17.7,106209280,1946247168,104853504,104853504,0,0.0,15379681280,12371595264,2331348992,84.1,264289280,30773248,233516032,11.6,1850767872,246076416
